Thu Apr  2 17:07:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation returns: -97.36502958324218
Evaluation returns: -93.08530401626632
Evaluation returns: -95.2226124910508
Evaluation returns: -93.98758304321775
Evaluation returns: -94.2036992175587
Evaluation returns: -94.11742506218283
Evaluation returns: -91.75990325077646
Evaluation returns: -91.4452293991066
Evaluation returns: -91.19732456634848
Evaluation returns: -90.67501693726027
Evaluation returns: -89.76946632373142
Evaluation returns: -91.97415930286145
Evaluation returns: -87.59063287989048
Evaluation returns: -87.11276025484356
Evaluation returns: -87.5161431856098
Evaluation returns: -83.97013066732816
Evaluation returns: -85.63869992875804
Evaluation returns: -83.18382768445257
Evaluation returns: -77.13791045148426
Evaluation returns: -75.88569448066264
Evaluation returns: -78.0824346170152
Evaluation returns: -78.27548205113945
Evaluation returns: -84.46126725384771
Evaluation returns: -84.39141576776252
Evaluation returns: -86.6018975756236
Evaluation returns: -88.41828566268485
Evaluation returns: -87.20756359276123
Evaluation returns: -86.37040938160655
Evaluation returns: -89.89879133888626
Evaluation returns: -92.49389463555613
Evaluation returns: -92.86086351526723
Evaluation returns: -89.97683013448378
Evaluation returns: -83.25955139601417
Evaluation returns: -84.28981774261813
Evaluation returns: -81.43800644941733
Evaluation returns: -81.94678480599048
Evaluation returns: -79.56196189356365
Evaluation returns: -81.81744147077008
Evaluation returns: -82.16669168242483
Evaluation returns: -80.67067816670165
Evaluation returns: -79.98582412636019
Evaluation returns: -83.17313362678394
Evaluation returns: -84.26919724516301
Evaluation returns: -85.03312431670955
Evaluation returns: -87.08839947235398
Evaluation returns: -87.48331854172532
Evaluation returns: -93.58980764682217
Evaluation returns: -95.23298773841934
Evaluation returns: -94.83971513213723
Evaluation returns: -96.99828354081362
Evaluation returns: -95.83648629145716
Evaluation returns: -94.21849684944735
Evaluation returns: -94.83318854872863
Evaluation returns: -93.23176966523113
Evaluation returns: -92.02705500409276
Evaluation returns: -88.37760036265757
Evaluation returns: -86.81692244254877
Evaluation returns: -84.70839155588558
Evaluation returns: -82.21193359256287
Evaluation returns: -81.37927175156842
Evaluation returns: -84.28176120994745
Evaluation returns: -82.41523336628968
