Wed Jun 24 23:06:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:CF:00.0 Off |                    0 |
|  0%   35C    P0             16W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 13900, Returns: -20.300, Epsilon: 0.9725
Step: 14000, Returns: -20.320, Epsilon: 0.9723
Step: 14100, Returns: -20.340, Epsilon: 0.9721
Step: 14200, Returns: -20.350, Epsilon: 0.9719
Step: 14300, Returns: -20.360, Epsilon: 0.9717
Step: 14400, Returns: -20.360, Epsilon: 0.9715
Step: 14500, Returns: -20.340, Epsilon: 0.9713
Step: 14600, Returns: -20.340, Epsilon: 0.9711
Step: 14700, Returns: -20.330, Epsilon: 0.9709
Step: 14800, Returns: -20.320, Epsilon: 0.9707
Step: 14900, Returns: -20.320, Epsilon: 0.9705
Step: 15000, Returns: -20.320, Epsilon: 0.9703
Step: 15100, Returns: -20.310, Epsilon: 0.9701
Step: 15200, Returns: -20.310, Epsilon: 0.9699
Step: 15300, Returns: -20.320, Epsilon: 0.9697
Step: 15400, Returns: -20.310, Epsilon: 0.9695
Step: 15500, Returns: -20.310, Epsilon: 0.9693
Step: 15600, Returns: -20.300, Epsilon: 0.9691
Updating target network...
Step: 15700, Returns: -20.300, Epsilon: 0.9689
Step: 15800, Returns: -20.300, Epsilon: 0.9687
Step: 15900, Returns: -20.320, Epsilon: 0.9685
Step: 16000, Returns: -20.270, Epsilon: 0.9683
Step: 16100, Returns: -20.280, Epsilon: 0.9681
Step: 16200, Returns: -20.270, Epsilon: 0.9679
Step: 16300, Returns: -20.260, Epsilon: 0.9677
Step: 16400, Returns: -20.290, Epsilon: 0.9675
Step: 16500, Returns: -20.290, Epsilon: 0.9673
Step: 16600, Returns: -20.290, Epsilon: 0.9671
Step: 16700, Returns: -20.290, Epsilon: 0.9669
Step: 16800, Returns: -20.290, Epsilon: 0.9667
Step: 16900, Returns: -20.280, Epsilon: 0.9665
Step: 17000, Returns: -20.270, Epsilon: 0.9663
Step: 17100, Returns: -20.270, Epsilon: 0.9661
Step: 17200, Returns: -20.260, Epsilon: 0.9659
Step: 17300, Returns: -20.270, Epsilon: 0.9657
Step: 17400, Returns: -20.270, Epsilon: 0.9655
Step: 17500, Returns: -20.270, Epsilon: 0.9654
Step: 17600, Returns: -20.290, Epsilon: 0.9652
Step: 17700, Returns: -20.290, Epsilon: 0.9650
Step: 17800, Returns: -20.290, Epsilon: 0.9648
Step: 17900, Returns: -20.270, Epsilon: 0.9646
Step: 18000, Returns: -20.240, Epsilon: 0.9644
Step: 18100, Returns: -20.240, Epsilon: 0.9642
Updating target network...
Step: 18200, Returns: -20.230, Epsilon: 0.9640
Step: 18300, Returns: -20.230, Epsilon: 0.9638
Step: 18400, Returns: -20.200, Epsilon: 0.9636
Step: 18500, Returns: -20.230, Epsilon: 0.9634
Step: 18600, Returns: -20.230, Epsilon: 0.9632
Step: 18700, Returns: -20.200, Epsilon: 0.9630
Step: 18800, Returns: -20.200, Epsilon: 0.9628
Step: 18900, Returns: -20.160, Epsilon: 0.9626
Step: 19000, Returns: -20.160, Epsilon: 0.9624
Step: 19100, Returns: -20.170, Epsilon: 0.9622
Step: 19200, Returns: -20.170, Epsilon: 0.9620
Step: 19300, Returns: -20.180, Epsilon: 0.9618
Step: 19400, Returns: -20.180, Epsilon: 0.9616
Step: 19500, Returns: -20.170, Epsilon: 0.9614
Step: 19600, Returns: -20.140, Epsilon: 0.9612
Step: 19700, Returns: -20.140, Epsilon: 0.9610
Step: 19800, Returns: -20.130, Epsilon: 0.9608
Step: 19900, Returns: -20.120, Epsilon: 0.9606
Step: 20000, Returns: -20.120, Epsilon: 0.9604
Step: 20100, Returns: -20.110, Epsilon: 0.9602
Step: 20200, Returns: -20.090, Epsilon: 0.9600
Step: 20300, Returns: -20.080, Epsilon: 0.9598
Step: 20400, Returns: -20.080, Epsilon: 0.9596
Step: 20500, Returns: -20.100, Epsilon: 0.9594
Step: 20600, Returns: -20.100, Epsilon: 0.9592
Updating target network...
Step: 20700, Returns: -20.090, Epsilon: 0.9590
Step: 20800, Returns: -20.080, Epsilon: 0.9588
Step: 20900, Returns: -20.060, Epsilon: 0.9586
Step: 21000, Returns: -20.070, Epsilon: 0.9584
Step: 21100, Returns: -20.070, Epsilon: 0.9582
Step: 21200, Returns: -20.070, Epsilon: 0.9580
Step: 21300, Returns: -20.070, Epsilon: 0.9578
Step: 21400, Returns: -20.050, Epsilon: 0.9576
Step: 21500, Returns: -20.090, Epsilon: 0.9574
Step: 21600, Returns: -20.050, Epsilon: 0.9572
Step: 21700, Returns: -20.060, Epsilon: 0.9570
Step: 21800, Returns: -20.060, Epsilon: 0.9568
Step: 21900, Returns: -20.080, Epsilon: 0.9566
Step: 22000, Returns: -20.110, Epsilon: 0.9564
Step: 22100, Returns: -20.130, Epsilon: 0.9562
Step: 22200, Returns: -20.130, Epsilon: 0.9560
Step: 22300, Returns: -20.120, Epsilon: 0.9558
Step: 22400, Returns: -20.100, Epsilon: 0.9556
Step: 22500, Returns: -20.100, Epsilon: 0.9555
Step: 22600, Returns: -20.090, Epsilon: 0.9553
Step: 22700, Returns: -20.080, Epsilon: 0.9551
Step: 22800, Returns: -20.080, Epsilon: 0.9549
Step: 22900, Returns: -20.090, Epsilon: 0.9547
Step: 23000, Returns: -20.090, Epsilon: 0.9545
Step: 23100, Returns: -20.120, Epsilon: 0.9543
Updating target network...
Step: 23200, Returns: -20.130, Epsilon: 0.9541
Step: 23300, Returns: -20.130, Epsilon: 0.9539
Step: 23400, Returns: -20.120, Epsilon: 0.9537
Step: 23500, Returns: -20.120, Epsilon: 0.9535
Step: 23600, Returns: -20.110, Epsilon: 0.9533
Step: 23700, Returns: -20.100, Epsilon: 0.9531
Step: 23800, Returns: -20.110, Epsilon: 0.9529
Step: 23900, Returns: -20.110, Epsilon: 0.9527
Step: 24000, Returns: -20.120, Epsilon: 0.9525
Step: 24100, Returns: -20.120, Epsilon: 0.9523
Step: 24200, Returns: -20.110, Epsilon: 0.9521
Step: 24300, Returns: -20.110, Epsilon: 0.9519
Step: 24400, Returns: -20.120, Epsilon: 0.9517
Step: 24500, Returns: -20.130, Epsilon: 0.9515
Step: 24600, Returns: -20.120, Epsilon: 0.9513
Step: 24700, Returns: -20.110, Epsilon: 0.9511
Step: 24800, Returns: -20.140, Epsilon: 0.9509
Step: 24900, Returns: -20.160, Epsilon: 0.9507
Step: 25000, Returns: -20.180, Epsilon: 0.9505
Step: 25100, Returns: -20.160, Epsilon: 0.9503
Step: 25200, Returns: -20.160, Epsilon: 0.9501
Step: 25300, Returns: -20.160, Epsilon: 0.9499
Step: 25400, Returns: -20.170, Epsilon: 0.9497
Step: 25500, Returns: -20.180, Epsilon: 0.9495
Step: 25600, Returns: -20.190, Epsilon: 0.9493
Updating target network...
Step: 25700, Returns: -20.160, Epsilon: 0.9491
Step: 25800, Returns: -20.170, Epsilon: 0.9489
Step: 25900, Returns: -20.210, Epsilon: 0.9487
Step: 26000, Returns: -20.220, Epsilon: 0.9485
Step: 26100, Returns: -20.220, Epsilon: 0.9483
Step: 26200, Returns: -20.220, Epsilon: 0.9481
Step: 26300, Returns: -20.240, Epsilon: 0.9479
Step: 26400, Returns: -20.240, Epsilon: 0.9477
Step: 26500, Returns: -20.250, Epsilon: 0.9475
Step: 26600, Returns: -20.270, Epsilon: 0.9473
Step: 26700, Returns: -20.320, Epsilon: 0.9471
Step: 26800, Returns: -20.320, Epsilon: 0.9469
Step: 26900, Returns: -20.320, Epsilon: 0.9467
Step: 27000, Returns: -20.340, Epsilon: 0.9465
Step: 27100, Returns: -20.310, Epsilon: 0.9463
Step: 27200, Returns: -20.320, Epsilon: 0.9461
Step: 27300, Returns: -20.320, Epsilon: 0.9459
Step: 27400, Returns: -20.320, Epsilon: 0.9457
Step: 27500, Returns: -20.360, Epsilon: 0.9456
Step: 27600, Returns: -20.360, Epsilon: 0.9454
Step: 27700, Returns: -20.360, Epsilon: 0.9452
Step: 27800, Returns: -20.360, Epsilon: 0.9450
Step: 27900, Returns: -20.330, Epsilon: 0.9448
Step: 28000, Returns: -20.370, Epsilon: 0.9446
Step: 28100, Returns: -20.370, Epsilon: 0.9444
Updating target network...
Step: 28200, Returns: -20.400, Epsilon: 0.9442
Step: 28300, Returns: -20.410, Epsilon: 0.9440
Step: 28400, Returns: -20.400, Epsilon: 0.9438
Step: 28500, Returns: -20.420, Epsilon: 0.9436
Step: 28600, Returns: -20.400, Epsilon: 0.9434
Step: 28700, Returns: -20.380, Epsilon: 0.9432
Step: 28800, Returns: -20.400, Epsilon: 0.9430
Step: 28900, Returns: -20.400, Epsilon: 0.9428
Step: 29000, Returns: -20.370, Epsilon: 0.9426
